shot_id_number,is_goal
1,0.7709485
8,0.40361112
17,0.41293103
20,0.26585013
22,0.61646146
33,0.7010145
34,0.57619536
35,0.5919071
36,0.5932368
37,0.4035591
38,0.6144339
45,0.5915454
50,0.62417036
55,0.7957474
60,0.7412089
62,0.66332465
66,0.5897369
67,0.6113256
71,0.60360336
72,0.5671327
76,0.695927
80,0.6546717
85,0.48846096
86,0.60261357
87,0.5913359
92,0.62504435
95,0.5802052
97,0.6126767
104,0.39094663
113,0.6237829
122,0.06306487
123,0.55084604
126,0.60687494
133,0.33481097
134,0.63633025
141,0.6043298
144,0.6516079
150,0.284966
152,0.5911174
153,0.2569703
156,0.6534965
159,0.26974124
165,0.5769633
172,0.5767169
182,0.2819398
192,0.5918847
193,0.24043643
196,0.64777994
202,0.61083746
205,0.5988014
210,0.6713102
211,0.6246321
228,0.14342797
250,0.2639693
257,0.6350541
260,0.55007774
262,0.61845624
264,0.64815825
267,0.64673686
279,0.27292156
282,0.8262604
293,0.61077183
299,0.21206033
300,0.48346543
301,0.59537953
317,0.67016596
327,0.6396133
328,0.65732634
335,0.6293067
346,0.262183
348,0.43028104
360,0.6548556
365,0.63521457
379,0.60786563
382,0.46922415
390,0.42544025
391,0.27768242
392,0.631394
397,0.60350704
417,0.68008614
418,0.62140656
420,0.64287066
428,0.73119235
429,0.6195481
434,0.6172215
439,0.40727782
440,0.61234564
451,0.6806992
456,0.58146876
459,0.5703956
472,0.5931287
480,0.45743048
491,0.68417084
497,0.57790077
509,0.5796631
511,0.61451423
523,0.5931385
533,0.60159266
544,0.59813845
546,0.67138183
552,0.60495305
555,0.30178803
558,0.7245383
560,0.5980725
568,0.6163267
571,0.4170404
573,0.5920475
576,0.05427897
578,0.2666369
591,0.59380835
596,0.5794896
597,0.62344563
601,0.462318
605,0.57257813
617,0.6321546
625,0.7492115
628,0.7927931
634,0.6316993
646,0.56969535
649,0.5647489
651,0.25545365
654,0.07627511
656,0.62128353
657,0.5104689
661,0.11294514
669,0.5933902
670,0.11956352
680,0.25266564
693,0.4220751
694,0.7256372
699,0.6015731
711,0.59179866
715,0.62422216
718,0.59297955
722,0.5832597
723,0.60036004
725,0.32351053
734,0.6092086
735,0.61769783
737,0.59571886
746,0.6545404
747,0.49756318
764,0.6365914
766,0.6559749
767,0.6288004
771,0.6512656
773,0.65537363
774,0.5740519
783,0.64853144
784,0.59166485
789,0.60466087
792,0.548773
804,0.6873621
809,0.6877847
812,0.5687406
813,0.6499996
817,0.57557195
818,0.60971594
820,0.6233123
825,0.6689484
826,0.61286134
829,0.63854873
833,0.5885638
855,0.57458746
859,0.24800688
862,0.5991092
870,0.6033758
876,0.6845182
880,0.6068389
886,0.084724724
889,0.1828394
891,0.5756513
897,0.09902024
902,0.62467563
903,0.5060183
908,0.6538693
909,0.5733247
920,0.71902317
922,0.5696162
924,0.5433202
932,0.52142274
934,0.63631177
937,0.71754503
938,0.40459394
941,0.64437675
943,0.6133975
947,0.5589559
950,0.65892303
952,0.69741887
954,0.13248372
962,0.41241038
963,0.48500675
975,0.6316634
979,0.6065741
981,0.59629244
983,0.71331835
985,0.38718933
989,0.49236894
995,0.5922143
998,0.59404355
1008,0.6256914
1019,0.26985347
1023,0.5754859
1026,0.6492952
1029,0.46735597
1034,0.61981654
1036,0.39340967
1038,0.684046
1039,0.6367724
1044,0.560994
1049,0.58420324
1051,0.6261275
1052,0.6736574
1062,0.25106877
1064,0.47809345
1066,0.6197159
1087,0.67605233
1092,0.676391
1094,0.34308362
1098,0.5705424
1099,0.6590407
1102,0.6937413
1103,0.5499226
1118,0.63590074
1131,0.5981029
1133,0.39647835
1135,0.06923926
1138,0.58868325
1139,0.26747918
1141,0.5620232
1142,0.58801067
1151,0.7148646
1152,0.61032474
1155,0.5561645
1157,0.5358763
1165,0.62751925
1167,0.11220914
1172,0.46995962
1174,0.37583965
1178,0.5843016
1180,0.5916492
1200,0.65152705
1202,0.61069316
1209,0.57557243
1227,0.5197036
1228,0.36668038
