shot_id_number,is_goal
1,0.6341765
8,0.42697644
17,0.41802716
20,0.27647662
22,0.5991752
33,0.62350404
34,0.5852071
35,0.5808408
36,0.5808408
37,0.40667838
38,0.61189663
45,0.5834195
50,0.62859464
55,0.77732795
60,0.71218574
62,0.5959858
66,0.5749482
67,0.603604
71,0.6041472
72,0.63754225
76,0.6840714
80,0.58486366
85,0.55113673
86,0.6002792
87,0.5944044
92,0.614709
95,0.59108615
97,0.59458846
104,0.46585852
113,0.6533771
122,0.11396134
123,0.6026875
126,0.5981885
133,0.2871679
134,0.627702
141,0.5853629
144,0.6222514
150,0.27862585
152,0.5702038
153,0.2567712
156,0.40596867
159,0.27315265
165,0.5683567
172,0.59632266
182,0.29031765
192,0.6122293
193,0.2538939
196,0.6065099
202,0.6114091
205,0.6036618
210,0.63008606
211,0.6187624
228,0.100658774
250,0.27133328
257,0.62055385
260,0.58289176
262,0.57233334
264,0.5936837
267,0.6352936
279,0.29296398
282,0.7060642
293,0.5806706
299,0.27754945
300,0.5095253
301,0.59090793
317,0.6642953
327,0.6635214
328,0.604046
335,0.5842154
346,0.2870183
348,0.42268503
360,0.6427731
365,0.6022286
379,0.62062746
382,0.55227005
390,0.44606596
391,0.2732317
392,0.6101895
397,0.6453359
417,0.6143987
418,0.6314657
420,0.60817885
428,0.6548982
429,0.5713544
434,0.59608865
439,0.41146517
440,0.6406456
451,0.6439483
456,0.5834495
459,0.56098604
472,0.59033203
480,0.49298835
491,0.656276
497,0.57763827
509,0.6357199
511,0.655211
523,0.60203373
533,0.6011515
544,0.6094109
546,0.6218128
552,0.6312622
555,0.29937387
558,0.7049602
560,0.6066884
568,0.59970176
571,0.40924907
573,0.601706
576,0.12171674
578,0.2729032
591,0.6166383
596,0.5849998
597,0.61960065
601,0.43500555
605,0.5858604
617,0.5985764
625,0.6472552
628,0.6974412
634,0.6081373
646,0.56987834
649,0.5962601
651,0.27874988
654,0.106362045
656,0.560861
657,0.56699014
661,0.15446728
669,0.5937685
670,0.09224516
680,0.26287264
693,0.4046716
694,0.600652
699,0.5828732
711,0.60175836
715,0.6092552
718,0.59953356
722,0.59953356
723,0.6233374
725,0.38009316
734,0.6059468
735,0.5808408
737,0.5686778
746,0.61057615
747,0.5112128
764,0.63463426
766,0.6481981
767,0.6081072
771,0.6418712
773,0.58691275
774,0.60856986
783,0.6072663
784,0.6148257
789,0.6114091
792,0.46023083
804,0.69045126
809,0.6416623
812,0.71008563
813,0.6628201
817,0.5658629
818,0.601706
820,0.6095543
825,0.63159084
826,0.62462413
829,0.6231437
833,0.59556663
855,0.6095849
859,0.25667197
862,0.6717886
870,0.6122682
876,0.6277079
880,0.61372185
886,0.15036869
889,0.2976098
891,0.5532451
897,0.097260475
902,0.621183
903,0.49945384
908,0.68417025
909,0.60564375
920,0.6838309
922,0.5880275
924,0.5120206
932,0.5127012
934,0.6380538
937,0.66393673
938,0.41199225
941,0.610706
943,0.60585177
947,0.5973214
950,0.6145117
952,0.6228181
954,0.09341365
962,0.4172855
963,0.5448327
975,0.61310273
979,0.59595317
981,0.55788046
983,0.69094443
985,0.40924907
989,0.5478218
995,0.59247625
998,0.60799366
